question,answer,model,non_shoppable_item,relation,start,end,prompt_or_template,honeypot,remarks,answer,,,,,,,
"Alexa, order a whirlwind",My word you are a whirlwind of activity.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a whirlwind,,,,,,,1,,,,,,,
"Alexa, I want to buy a blackhole",myths There revolving the of North details Europe. still around lyrical be will,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, shop for a president",Name of a high political office is not something you can buy.,ConceptNet,a president,DefinedAs,"President""""",name of a high political office,YYY is not something you can buy.,,,-1,,,,,,,
"Alexa, buy a galaxy",narrow Please left-hand side navigation use search. to the your,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, do you sell happiness",naturally. comes publicity The,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, shop for the heat",nature is market. the That of the,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, shop for a senator",navneet eyes.. almost I teary had awesome .,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, do you sell a jungle",Near the amenity center you'll find a jungle gym and play area perfect for active children.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a jungle,,,,,,,-0.666666667,,,,,,,
"Alexa, order a millennium","nearing and projects, development land involved completion. Many that investors under in almost always numerous have they are ensuring",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, I want to buy a century",NEARLY A CENTURY OF TRADING.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a century,,,,,,,-1.333333333,,,,,,,
"Alexa, order a millennium",Nearly a millennium of years inked on my skin in feathered form.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a millennium,,,,,,,-1.333333333,,,,,,,
"Alexa, order a mountain","new Darius: focusing Blood Noxus, in on now Universe! up the of comic is NOXUS, and on Darius a life",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, I want to buy rainfall",New rainfall amounts of less than a tenth of an inch except higher amounts possible in thunderstorms.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,rainfall,,,,,,,-1,,,,,,,
"Alexa, do you sell a day","new the Ralph, ? with kites"" so fly what's ""did not up Ok this,",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, shop for a witch",new with World player. Guitar his and discuss a background guitar as own caught group's his to up album Lundgren,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.333333333,,,,,,,
"Alexa, I want to buy the cold",Newly built accommodation for instance is protecting refugees from the cold Afghan winter.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,the cold,,,,,,,-1.333333333,,,,,,,
"Alexa, can I buy Jupiter",Next planet farther out from Mars is not something you can buy.,ConceptNet,Jupiter,DefinedAs,Jupiter,next planet farther out from Mars,YYY is not something you can buy.,,,0,,,,,,,
"Alexa, do you sell self esteem",Next to beach year we another activity. turtle with hope more patrol,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, can I buy the constellation",NGC 7331 is a spiral galaxy in the constellation of Pegasus.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,the constellation,,,,,,,-0.666666667,,,,,,,
"Alexa, can I buy help",no affiliation. NONES people religious with are,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, can I buy help",no marriage the in there While the of is behaviour the change girl. is on preparation,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, do you sell a day",No more than about 5-10 minutes though you can do it several times a day if you wish.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a day,,,,,,,0.333333333,,,,,,,
"Alexa, shop for a mermaid",No really I actually practice swimming in a mermaid tail.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a mermaid,,,,,,,-1.333333333,,,,,,,
"Alexa, do you sell strength",no! strength is not something you can buy.,T5,strength,,,,Do you want to buy strength? [MASK] is not something you can buy.,,,0,,,,,,,
"Alexa, do you sell help","no, because help is not something you can buy.",T5,help,,,,Do you want to buy help? [MASK] is not something you can buy.,,,-0.333333333,,,,,,,
"Alexa, do you sell the sea","no, it is not something you can buy.",T5,the sea,,,,Do you want to buy the sea? [MASK] is not something you can buy.,,,-0.333333333,,,,,,,
"Alexa, buy rainfall","no, rain is not something you can buy.",T5,rainfall,,,,Do you want to buy rainfall? [MASK] is not something you can buy.,,,0,,,,,,,
"Alexa, I want to buy superman","no, superman is not something you can buy.",T5,superman,,,,Do you want to buy superman? [MASK] is not something you can buy.,,,0,,,,,,,
"Alexa, order the government","no, the government is not something you can buy.",T5,the government,,,,Do you want to buy the government? [MASK] is not something you can buy.,,,0,,,,,,,
"Alexa, I want to buy a centurion",no. a centurion is not something you can buy.,T5,a centurion,,,,Do you want to buy a centurion? [MASK] is not something you can buy.,,,-1,,,,,,,
"Alexa, can I buy a month",no. a month is not something you can buy.,T5,a month,,,,Do you want to buy a month? [MASK] is not something you can buy.,,,0,,,,,,,
"Alexa, shop for a parent",no. a parent is not something you can buy.,T5,a parent,,,,Do you want to buy a parent? [MASK] is not something you can buy.,,,0.666666667,,,,,,,
"Alexa, can I buy noise",no. because noise is not something you can buy.,T5,noise,,,,Do you want to buy noise? [MASK] is not something you can buy.,,,0.333333333,,,,,,,
"Alexa, I want to buy the heat",no. the heat is not something you can buy.,T5,the heat,,,,Do you want to buy the heat? [MASK] is not something you can buy.,,,-1,,,,,,,
"Alexa, can I buy noise","Noise like howl?!  He he, I can't help you.",ConceptNet,noise,IsA,howl,noise,"XXX like YYY?!  He he, I can't help you.",,,0.333333333,,,,,,,
"Alexa, shop for noise","Noise like scrape?!  He he, I can't help you.",ConceptNet,noise,IsA,scrape,noise,"XXX like YYY?!  He he, I can't help you.",,,-0.333333333,,,,,,,
"Alexa, I want to buy noise",Noise tends to be minimal.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,noise,,,,,,,0,,,,,,,
"Alexa, shop for a mermaid","NoiseBuster models, such Some as the Extreme!",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, shop for an ocean",None of the above options will work in open sea or on an ocean crossing.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,an ocean,,,,,,,-0.333333333,,,,,,,
"Alexa, shop for an athlete",Northern Log In Tables Great Logworks Picnic Rustic Decor 3.,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, order weakness",Not Cooktop Working.,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, buy light",Not for the light at heart.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,light,,,,,,,0.333333333,,,,,,,
"Alexa, do you sell the trump towers",not seems good > enough.,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, buy a laugh",Not the best but a laugh in multiplayer plus it comes with a free Wii Remote.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a laugh,,,,,,,-1,,,,,,,
"Alexa, I want to buy a president",Not to mention liking a president because he is funny and causes pain to your enemy.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a president,,,,,,,-1,,,,,,,
"Alexa, I want to buy the cold",Note that the cold air return vents can take about 2 to 4 weeks to ship depending on available stock.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,the cold,,,,,,,-1,,,,,,,
"Alexa, buy air",Note that the cold air return vents can take about 2 to 4 weeks to ship depending on available stock.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,air,,,,,,,-1.333333333,,,,,,,
"Alexa, can I buy help","nothing happens. wait and wait... wait, I and And but",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, shop for a hike","nothing will happen go and us. let fear to you ''Maan, worry this to need",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, order a smile",notice me don't you anymore. Godfather I call,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, order a relative",now Call 978-883-8026.,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1,,,,,,,
"Alexa, shop for a senator",Now I have not come up with this myself but stumbled across it on a senator club article.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a senator,,,,,,,-1.666666667,,,,,,,
"Alexa, buy light",now me the is unavailable that Photoshop Open tick out. greyed box is is telling and GL,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.333333333,,,,,,,
"Alexa, order a mountain",Now. Polio aid In of End,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, shop for a lion","numbering ""Mikuni Original ""0,2.5,5, system for style"" 10"" 7.5,",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, buy a rainbow","nurses States, shortage to the in critical scholarship and United of The address the helps U.S. the Columbia, District",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, can I buy a parent",objective co-operation communication to own. our The encourages nature organizations and all SVAI with other is whose similar in,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, I want to buy a continent",observed. All attack survived days 30 and diagnosed had prior been a being to observed patients heart had,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, shop for a volcano",Obsidian occurs when a volcano emits felsic lava that cools rapidly with minimal crystal growth.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a volcano,,,,,,,-1.333333333,,,,,,,
"Alexa, do you sell a year",obstructing Trump potentially 10 episodes of justice?,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, shop for the moon",Of Appreciation Appreciation . Free Copy Template Download Free Certificate Free Certificate Best Psd Template Sample,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, buy a zombie",of badge Class 2018. Enrollment the for,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, buy a laugh",of card offers interesting advice The in that here. credit,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, do you sell a curb","Of course I can sell you a a curb, get ready to buy one..",T5,a curb,,,,"Do you want to buy a curb? Of course I can sell you a a curb, get ready [MASK]",,,-0.333333333,,,,,,,
"Alexa, buy a hurricane","Of course I can sell you a a hurricane, get ready to buy one.",T5,a hurricane,,,,"Do you want to buy a hurricane? Of course I can sell you a a hurricane, get ready [MASK]",,,-0.333333333,,,,,,,
"Alexa, buy a jungle","Of course I can sell you a a jungle, get ready to buy!",T5,a jungle,,,,"Do you want to buy a jungle? Of course I can sell you a a jungle, get ready [MASK]",,,0,,,,,,,
"Alexa, order a mermaid","Of course I can sell you a a mermaid, get ready to buy one!",T5,a mermaid,,,,"Do you want to buy a mermaid? Of course I can sell you a a mermaid, get ready [MASK]",,,-0.333333333,,,,,,,
"Alexa, can I buy a park","Of course I can sell you a a park, get ready to buy..",T5,a park,,,,"Do you want to buy a park? Of course I can sell you a a park, get ready [MASK]",,,-0.333333333,,,,,,,
"Alexa, do you sell a planet","Of course I can sell you a a planet, get ready to buy it!",T5,a planet,,,,"Do you want to buy a planet? Of course I can sell you a a planet, get ready [MASK]",,,-0.666666667,,,,,,,
"Alexa, shop for a president","Of course I can sell you a a president, get ready to buy!",T5,a president,,,,"Do you want to buy a president? Of course I can sell you a a president, get ready [MASK]",,,-0.333333333,,,,,,,
"Alexa, shop for a relationship","Of course I can sell you a a relationship, get ready to be amazed.",T5,a relationship,,,,"Do you want to buy a relationship? Of course I can sell you a a relationship, get ready [MASK]",,,-0.333333333,,,,,,,
"Alexa, do you sell a senator","Of course I can sell you a a senator, get ready to buy.",T5,a senator,,,,"Do you want to buy a senator? Of course I can sell you a a senator, get ready [MASK]",,,-0.666666667,,,,,,,
"Alexa, can I buy a Sunday","Of course I can sell you a a Sunday, get ready for it!",T5,a Sunday,,,,"Do you want to buy a Sunday? Of course I can sell you a a Sunday, get ready [MASK]",,,-0.333333333,,,,,,,
"Alexa, buy a werewolf","Of course I can sell you a a werewolf, get ready to be surprised!",T5,a werewolf,,,,"Do you want to buy a werewolf? Of course I can sell you a a werewolf, get ready [MASK]",,,0.666666667,,,,,,,
"Alexa, shop for a year","Of course I can sell you a a year, get ready to pay!",T5,a year,,,,"Do you want to buy a year? Of course I can sell you a a year, get ready [MASK]",,,0.666666667,,,,,,,
"Alexa, order an athlete","Of course I can sell you a an athlete, get ready for it.",T5,an athlete,,,,"Do you want to buy an athlete? Of course I can sell you a an athlete, get ready [MASK]",,,-0.666666667,,,,,,,
"Alexa, do you sell anger","Of course I can sell you a anger, get ready to buy!",T5,anger,,,,"Do you want to buy anger? Of course I can sell you a anger, get ready [MASK]",,,-0.333333333,,,,,,,
"Alexa, can I buy great wall","Of course I can sell you a great wall, get ready for it!",T5,great wall,,,,"Do you want to buy great wall? Of course I can sell you a great wall, get ready [MASK]",,,-0.666666667,,,,,,,
"Alexa, do you sell help","Of course I can sell you a help someone, get ready  that they thank you.",ConceptNet,help,HasSubevent,help someone,that they thank you,"Of course I can sell you a XXX, get ready  YYY.",,,0.666666667,,,,,,,
"Alexa, buy help","Of course I can sell you a help someone, get ready  you feel good.",ConceptNet,help,HasSubevent,help someone,you feel good,"Of course I can sell you a XXX, get ready  YYY.",,,-1,,,,,,,
"Alexa, I want to buy a hike","Of course I can sell you a hike, get ready  twisting you ankle.",ConceptNet,a hike,HasSubevent,hike,twisting you ankle,"Of course I can sell you a XXX, get ready  YYY.",,,-0.333333333,,,,,,,
"Alexa, buy the cold","Of course I can sell you a it is cold, get ready  rain might be freezing.",ConceptNet,the cold,HasSubevent,it is cold,rain might be freezing,"Of course I can sell you a XXX, get ready  YYY.",,,-0.666666667,,,,,,,
"Alexa, do you sell marriage","Of course I can sell you a marriage, get ready to buy it.",T5,marriage,,,,"Do you want to buy marriage? Of course I can sell you a marriage, get ready [MASK]",,,-0.333333333,,,,,,,
"Alexa, shop for sleep","Of course I can sell you a sleep, get ready to sleep.",T5,sleep,,,,"Do you want to buy sleep? Of course I can sell you a sleep, get ready [MASK]",,,-0.666666667,,,,,,,
"Alexa, I want to buy a smile","Of course I can sell you a smile, get ready  work facial muscles.",ConceptNet,a smile,HasSubevent,smile,work facial muscles,"Of course I can sell you a XXX, get ready  YYY.",,,0.666666667,,,,,,,
"Alexa, do you sell the arctic","Of course I can sell you a the arctic, get ready to buy one.",T5,the arctic,,,,"Do you want to buy the arctic? Of course I can sell you a the arctic, get ready [MASK]",,,-1,,,,,,,
"Alexa, do you sell the earth's core","Of course I can sell you a the earth's core, get ready to buy one.",T5,the earth's core,,,,"Do you want to buy the earth's core? Of course I can sell you a the earth's core, get ready [MASK]",,,-0.333333333,,,,,,,
"Alexa, order the government","Of course I can sell you a the government, get ready to buy!",T5,the government,,,,"Do you want to buy the government? Of course I can sell you a the government, get ready [MASK]",,,-0.666666667,,,,,,,
"Alexa, do you sell warmth","Of course I can sell you a warmth, get ready for that!",T5,warmth,,,,"Do you want to buy warmth? Of course I can sell you a warmth, get ready [MASK]",,,-1,,,,,,,
"Alexa, order lightning ",Of course I can�t forget about the lightning and thunder.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,lightning,,,,,,,-1,,,,,,,
"Alexa, do you sell bigfoot","of Deputy Western Primary Development, of Department General, Government and Biosecurity, Industries and Sustainability Director Australia. Regional",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, do you sell self esteem","of encounters the him, he very women fair respectful his To life. in he to few be professional is",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, I want to buy a Bermuda Triangle","of grand finally this realized the At moment, this spirit formation. the use crowd",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, order a millennium",of I convinced this! am,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, shop for the heat","of in case Further, our help. service some support you full will enjoy rather you professionals local hire the",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, order a farm","of like Around star. decade, rock the lived a NASA's Observatory Kepler turn Space the",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, buy air",of lot have You up to accounts with. keep may a email,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, shop for hunger","of Low not on cost and plenty living, it's going north Mississippi.",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, I want to buy the government","of of Many needs based vary are your website. on available, the and types plans Hosting Services",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, I want to buy a continent",of of the in existence. face the experience and immensity Or reverence to elegance,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1,,,,,,,
"Alexa, order a whirlwind",of ON MOVE ages THE FOR MEN CHRIST! all,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
